CompanyName, CompanyNumber,RegAddress.CareOf,RegAddress.POBox,RegAddress.AddressLine1, RegAddress.AddressLine2,RegAddress.PostTown,RegAddress.County,RegAddress.Country,RegAddress.PostCode,CompanyCategory,CompanyStatus,CountryOfOrigin,DissolutionDate,IncorporationDate,Accounts.AccountRefDay,Accounts.AccountRefMonth,Accounts.NextDueDate,Accounts.LastMadeUpDate,Accounts.AccountCategory,Returns.NextDueDate,Returns.LastMadeUpDate,Mortgages.NumMortCharges,Mortgages.NumMortOutstanding,Mortgages.NumMortPartSatisfied,Mortgages.NumMortSatisfied,SICCode.SicText_1,SICCode.SicText_2,SICCode.SicText_3,SICCode.SicText_4,LimitedPartnerships.NumGenPartners,LimitedPartnerships.NumLimPartners,URI,PreviousName_1.CONDATE, PreviousName_1.CompanyName, PreviousName_2.CONDATE, PreviousName_2.CompanyName,PreviousName_3.CONDATE, PreviousName_3.CompanyName,PreviousName_4.CONDATE, PreviousName_4.CompanyName,PreviousName_5.CONDATE, PreviousName_5.CompanyName,PreviousName_6.CONDATE, PreviousName_6.CompanyName,PreviousName_7.CONDATE, PreviousName_7.CompanyName,PreviousName_8.CONDATE, PreviousName_8.CompanyName,PreviousName_9.CONDATE, PreviousName_9.CompanyName,PreviousName_10.CONDATE, PreviousName_10.CompanyName
"""DAMI.MB"" LTD","09102217","","","70 CHADWIN ROAD","","LONDON","","","E13 8NF","Private Limited Company","Active - Proposal to Strike off","United Kingdom","","25/06/2014","30","6","31/03/2017","30/06/2015","TOTAL EXEMPTION SMALL","23/07/2016","25/06/2015","0","0","0","0","63110 - Data processing, hosting and related activities","","","","0","0","http://business.data.gov.uk/id/company/09102217","","","","","","","","","","","","","","","","","","","",""
"""DEAR CHILD"" LIMITED","08997941","","","37A EARL'S COURT SQUARE","","LONDON","","","SW5 9BY","Private Limited Company","Active","United Kingdom","","15/04/2014","31","3","31/12/2016","31/03/2015","DORMANT","13/05/2017","15/04/2016","0","0","0","0","59111 - Motion picture production activities","","","","0","0","http://business.data.gov.uk/id/company/08997941","","","","","","","","","","","","","","","","","","","",""
"""DOBRO"" CONSTRUCTION LTD","09266750","","","31 PITCHFORD STREET","","LONDON","","","E15 4RZ","Private Limited Company","Active","United Kingdom","","16/10/2014","31","10","31/07/2017","31/10/2015","TOTAL EXEMPTION SMALL","13/11/2016","16/10/2015","0","0","0","0","43999 - Other specialised construction activities n.e.c.","","","","0","0","http://business.data.gov.uk/id/company/09266750","","","","","","","","","","","","","","","","","","","",""
"""DUKE OF WELLINGTON"" (HIGH BRIDGE) LIMITED","00829173","","","19 DARBY CRESCENT","","SUNBURY-ON-THAMES","MIDDLESEX","","TW16 5LB","Private Limited Company","Active","United Kingdom","","27/11/1964","31","12","30/09/2016","31/12/2014","TOTAL EXEMPTION SMALL","17/09/2016","20/08/2015","0","0","0","0","68209 - Other letting and operating of own or leased real estate","","","","0","0","http://business.data.gov.uk/id/company/00829173","","","","","","","","","","","","","","","","","","","",""
"""E-FASHIONS UK-BD"" LIMITED","08598894","","","75 WHITECHAPEL ROAD","UNIT-132","LONDON","","","E1 1DU","Private Limited Company","Active","United Kingdom","","05/07/2013","31","7","30/04/2017","31/07/2015","TOTAL EXEMPTION SMALL","02/08/2016","05/07/2015","0","0","0","0","46420 - Wholesale of clothing and footwear","","","","0","0","http://business.data.gov.uk/id/company/08598894","","","","","","","","","","","","","","","","","","","",""
"""EASY HAND"" LTD","10112611","","","106 SIDCUP ROAD","","BIRMINGHAM","WEST MIDLANDS","UNITED KINGDOM","B440LP","Private Limited Company","Active","United Kingdom","","08/04/2016","30","4","08/01/2018","","NO ACCOUNTS FILED","06/05/2017","","0","0","0","0","None Supplied","","","","0","0","http://business.data.gov.uk/id/company/10112611","","","","","","","","","","","","","","","","","","","",""
"""EL AL"" ISRAEL AIRLINES LIMITED","FC004087","","","BEN-GURION AIRPORT","PO BOX 41","ZIP 70100","ISRAEL","ISRAEL","","Other company type","Active","ISRAEL","","01/01/1993","31","12","","31/12/2015","GROUP","","","8","7","0","1","None Supplied","","","","0","0","http://business.data.gov.uk/id/company/FC004087","","","","","","","","","","","","","","","","","","","",""
"""EL POCO"" CONSULTANT LTD","10030489","","","SUITE 100A","PURLEY WAY","CROYDON","","ENGLAND","CR0 0XZ","Private Limited Company","Active","United Kingdom","","27/02/2016","29","2","27/11/2017","","NO ACCOUNTS FILED","27/03/2017","","0","0","0","0","None Supplied","","","","0","0","http://business.data.gov.uk/id/company/10030489","","","","","","","","","","","","","","","","","","","",""
"""ELLA-MARK"" EU GROCERY STORE LIMITED","09945606","","","14 BOBY ROAD","","BURY ST EDMUNDS","SUFFOLK","UNITED KINGDOM","IP32 6ST","Private Limited Company","Active","United Kingdom","","11/01/2016","31","1","11/10/2017","","NO ACCOUNTS FILED","08/02/2017","","0","0","0","0","None Supplied","","","","0","0","http://business.data.gov.uk/id/company/09945606","","","","","","","","","","","","","","","","","","","",""
"""EMPEROR DIVERS"" FOR DIVING ACTIVITIES","FC025868","","","HILTON PLAZA HOTEL","GABAL EL HAREEM","HURGHADA","EGYPTIAN COAST","EGYPT","","Other company type","Active","EGYPT","","04/03/2005","31","12","","31/12/2015","FULL","","","0","0","0","0","None Supplied","","","","0","0","http://business.data.gov.uk/id/company/FC025868","","","","","","","","","","","","","","","","","","","",""
"""EVANS-PUGHE STRINGS OF HITCHIN"" LTD.","03294578","","","PO BOX 501, THE NEXUS BUILDING","BROADWAY","LETCHWORTH GARDEN CITY","HERTS","","SG6 9BL","Private Limited Company","Active","United Kingdom","","19/12/1996","30","6","31/03/2017","31/12/2014","TOTAL EXEMPTION SMALL","09/01/2017","12/12/2015","0","0","0","0","47591 - Retail sale of musical instruments and scores","","","","0","0","http://business.data.gov.uk/id/company/03294578","28/02/1997","USERGLASS LIMITED","","","","","","","","","","","","","","","","","",""
"""EVEERGE"" LIMITED","00612503","","","KING STREET HOUSE","15 UPPER KING STREET","NORWICH","NORFOLK","","NR3 1RB","Private Limited Company","Liquidation","United Kingdom","","07/10/1958","31","12","31/10/1995","31/12/1993","ACCOUNTS TYPE NOT AVAILABLE","06/08/1994","09/07/1993","2","2","0","0","2875 - Manufacture other fabricated metal products","","","","0","0","http://business.data.gov.uk/id/company/00612503","","","","","","","","","","","","","","","","","","","",""
"""F.H.GREENAWAY""","LP002617","","","","","","","","","Limited Partnership","Active","United Kingdom","","01/01/1981","","","","","NO ACCOUNTS FILED","","","0","0","0","0","None Supplied","","","","0","0","http://business.data.gov.uk/id/company/LP002617","","","","","","","","","","","","","","","","","","","",""
"""FIRST LEADER (UK) LIMITED""","01941022","","","5TH FLOOR, 38","WIGMORE STREET","LONDON","","ENGLAND","W1U 2RU","Private Limited Company","Active","United Kingdom","","21/08/1985","31","12","30/09/2017","31/12/2015","TOTAL EXEMPTION SMALL","27/11/2016","30/10/2015","2","2","0","0","63990 - Other information service activities n.e.c.","","","","0","0","http://business.data.gov.uk/id/company/01941022","","","","","","","","","","","","","","","","","","","",""
"""FIVE TOWNS PLUS"" HOSPICE FUND LIMITED(THE)","01797810","","","THE PRINCE OF WALES HOSPICE","HALFPENNY LANE","PONTEFRACT","WEST YORKS","","WF8 4BG","PRI/LTD BY GUAR/NSC (Private, limited by guarantee, no share capital)","Active","United Kingdom","","07/03/1984","31","3","31/12/2016","31/03/2015","GROUP","04/06/2017","07/05/2016","0","0","0","0","86101 - Hospital activities","","","","0","0","http://business.data.gov.uk/id/company/01797810","","","","","","","","","","","","","","","","","","","",""
"""FROST"" ASBESTOS REMOVAL LIMITED","00877770","","","COTTIS HOUSE","BRADLEY WAY","ROCHFORD","ESSEX","","","Private Limited Company","Active","United Kingdom","","26/04/1966","28","2","28/12/1999","","NO ACCOUNTS FILED","","","0","0","0","0","None Supplied","","","","0","0","http://business.data.gov.uk/id/company/00877770","","","","","","","","","","","","","","","","","","","",""
"""GAGA"" BABY LIMITED","10208105","","","71-75 SHELTON STREET","COVENT GARDEN","LONDON","","UNITED KINGDOM","WC2H 9JQ","Private Limited Company","Active","United Kingdom","","31/05/2016","31","5","28/02/2018","","NO ACCOUNTS FILED","28/06/2017","","0","0","0","0","None Supplied","","","","0","0","http://business.data.gov.uk/id/company/10208105","","","","","","","","","","","","","","","","","","","",""
"""GENTLY DOES IT"" CARE SERVICES LIMITED","09297001","TAXASSIST ACCOUNTANTS","","116 THE HORNET","","CHICHESTER","WEST SUSSEX","","PO19 7JR","Private Limited Company","Active","United Kingdom","","05/11/2014","30","11","31/08/2017","30/11/2015","TOTAL EXEMPTION SMALL","03/12/2016","05/11/2015","0","0","0","0","86900 - Other human health activities","","","","0","0","http://business.data.gov.uk/id/company/09297001","","","","","","","","","","","","","","","","","","","",""
"""GRENDON COURT"" TEIGNMOUTH MANAGEMENT COMPANY LIMITED","01952156","","","135 REDDENHILL ROAD","","TORQUAY","","","TQ1 3NT","Private Limited Company","Active","United Kingdom","","02/10/1985","31","3","31/12/2017","31/03/2016","TOTAL EXEMPTION SMALL","05/08/2016","08/07/2015","0","0","0","0","98000 - Residents property management","","","","0","0","http://business.data.gov.uk/id/company/01952156","","","","","","","","","","","","","","","","","","","",""
"""GREYFRIARS BULGARIA"" LTD.","FC028914","","","","","REFER TO PARENT REGISTRY","","","","Other company type","Active","BULGARIA","","01/07/2006","31","7","","30/06/2011","FULL","","","0","0","0","0","None Supplied","","","","0","0","http://business.data.gov.uk/id/company/FC028914","","","","","","","","","","","","","","","","","","","",""
"""GSL GLASS SOLUTION "" LTD","10314270","","","91 BRIGHTON ROAD","","LONDON","","ENGLAND","E6 6AR","Private Limited Company","Active","United Kingdom","","05/08/2016","31","8","05/05/2018","","NO ACCOUNTS FILED","02/09/2017","","0","0","0","0","41100 - Development of building projects","","","","0","0","http://business.data.gov.uk/id/company/10314270","","","","","","","","","","","","","","","","","","","",""
"""H & CO"" (PERTH) LTD","SC521416","","","71 GEORGE STREET","","PERTH","PERTH & KINROSS","SCOTLAND","PH1 5LB","Private Limited Company","Active","United Kingdom","","30/11/2015","30","11","31/08/2017","","NO ACCOUNTS FILED","28/12/2016","","0","0","0","0","None Supplied","","","","0","0","http://business.data.gov.uk/id/company/SC521416","","","","","","","","","","","","","","","","","","","",""
"""H.A.R.D.T."" GROUP GMBH","FC025624","","","STUBENRING 18 A-1010","VIENNA","","","AUSTRIA","","Other company type","Active","AUSTRIA","","01/07/2004","31","12","","31/12/2010","FULL","","","0","0","0","0","None Supplied","","","","0","0","http://business.data.gov.uk/id/company/FC025624","","","","","","","","","","","","","","","","","","","",""
"""HEIGHTS"" (MANAGEMENT) NO 2 LIMITED(THE)","00851579","","","98 THE HEIGHTS","FOXGROVE ROAD","BECKENHAM","KENT","","BR3 5BZ","Private Limited Company","Active","United Kingdom","","14/06/1965","30","6","31/03/2017","30/06/2015","FULL","29/04/2017","01/04/2016","1","1","0","0","98000 - Residents property management","","","","0","0","http://business.data.gov.uk/id/company/00851579","","","","","","","","","","","","","","","","","","","",""
"""HIGH LIMITED"" LIMITED","08529234","","","FLAT 3 KENMARE COURT","TALBOT ROAD TOTTENHAM","LONDON","LONDON","","N15 4DF","Private Limited Company","Active","United Kingdom","","14/05/2013","31","5","28/02/2017","31/05/2015","DORMANT","13/03/2017","13/02/2016","0","0","0","0","63990 - Other information service activities n.e.c.","","","","0","0","http://business.data.gov.uk/id/company/08529234","","","","","","","","","","","","","","","","","","","",""
"""HOTEL PLATENGARTEN"" LIMITED","06833350","","","69 GREAT HAMPTON STREET","","BIRMINGHAM","","","B18 6EW","Private Limited Company","Active","United Kingdom","","02/03/2009","31","12","30/09/2017","31/12/2015","DORMANT","30/03/2017","02/03/2016","0","0","0","0","82990 - Other business support service activities n.e.c.","","","","0","0","http://business.data.gov.uk/id/company/06833350","","","","","","","","","","","","","","","","","","","",""
"""I DO BUSINESS CARDS"" LIMITED","09587374","","","18 VICTOR TERRACE","18 VICTOR TERRACE","HALIFAX","WEST YORKSHIRE","ENGLAND","HX1 4AN","Private Limited Company","Active","United Kingdom","","12/05/2015","31","5","12/02/2017","","NO ACCOUNTS FILED","09/06/2017","12/05/2016","0","0","0","0","99999 - Dormant Company","","","","0","0","http://business.data.gov.uk/id/company/09587374","","","","","","","","","","","","","","","","","","","",""
"""I&GM COMPANY"" LTD","08283517","","","349C HIGH ROAD","","LONDON","","","N22 8JA","Private Limited Company","Active","United Kingdom","","06/11/2012","5","11","05/08/2017","05/11/2015","","04/12/2016","06/11/2015","0","0","0","0","81299 - Other cleaning services","","","","0","0","http://business.data.gov.uk/id/company/08283517","","","","","","","","","","","","","","","","","","","",""
"""I'M SPARKACUS"" ELECTRICAL LIMITED","10339143","","","C/O THORNE LANCASTER PARKER VENTURE HOUSE","27-29 GLASSHOUSE STREET","LONDON","","UNITED KINGDOM","W1B 5DF","Private Limited Company","Active","United Kingdom","","22/08/2016","31","8","22/05/2018","","NO ACCOUNTS FILED","19/09/2017","","0","0","0","0","82990 - Other business support service activities n.e.c.","","","","0","0","http://business.data.gov.uk/id/company/10339143","","","","","","","","","","","","","","","","","","","",""
"""IF YOUR NAMES NOT DOWN"" PROTECTION AND SECURITY SERVICES LIMITED","07866300","KC GATES","","37 STANGATE HOUSE","ROYAL STREET","LONDON","","","SE1 7EQ","Private Limited Company","Active","United Kingdom","","30/11/2011","30","11","31/08/2017","30/11/2015","DORMANT","28/12/2016","30/11/2015","0","0","0","0","80100 - Private security activities","","","","0","0","http://business.data.gov.uk/id/company/07866300","08/03/2012","""IF YOUR NAMES NOT DOWN"" NATIONWIDE SECURITY SERVICES LIMITED","","","","","","","","","","","","","","","","","",""
"""ILOVEBUSINESS"" LIMITED","08881555","","","11A SUNRAY AVENUE","","FELIXSTOWE","SUFFOLK","ENGLAND","IP11 9QG","Private Limited Company","Active","United Kingdom","","07/02/2014","28","2","30/11/2016","28/02/2015","TOTAL EXEMPTION SMALL","07/03/2017","07/02/2016","0","0","0","0","58190 - Other publishing activities","","","","0","0","http://business.data.gov.uk/id/company/08881555","15/06/2016","BIRDY PUBLICATIONS LTD","","","","","","","","","","","","","","","","","",""
"""INTOUCH COMMUNICATION SERVICES"" LIMITED","03606467","","","OLYMPIC HOUSE","28-42 CLEMENTS ROAD","ILFORD","ESSEX","","IG1 1BA","Private Limited Company","Active","United Kingdom","","29/07/1998","31","12","30/09/2017","31/12/2015","TOTAL EXEMPTION SMALL","26/08/2016","29/07/2015","3","3","0","0","61900 - Other telecommunications activities","","","","0","0","http://business.data.gov.uk/id/company/03606467","","","","","","","","","","","","","","","","","","","",""
"""IPPOKRATES"" MEDICAL SERVICES LIMITED","08834169","","","ROWLANDS HOUSE PORTOBELLO ROAD","BIRTLEY","CHESTER LE STREET","COUNTY DURHAM","","DH3 2RY","Private Limited Company","Active","United Kingdom","","07/01/2014","31","1","31/10/2016","31/01/2015","TOTAL EXEMPTION SMALL","04/02/2017","07/01/2016","0","0","0","0","86220 - Specialists medical practice activities","","","","0","0","http://business.data.gov.uk/id/company/08834169","07/01/2014","""IPPROKRATES"" MEDICAL SERVICES LIMITED","","","","","","","","","","","","","","","","","",""
"""ISLAND CONCERTS""","02683032","","","PYLE HOUSE","136 & 137 PYLE STREET","NEWPORT","ISLE OF WIGHT","","PO30 1JW","PRI/LTD BY GUAR/NSC (Private, limited by guarantee, no share capital)","Active","United Kingdom","","31/01/1992","31","1","31/10/2016","31/01/2015","TOTAL EXEMPTION FULL","18/02/2017","21/01/2016","0","0","0","0","55900 - Other accommodation","90020 - Support activities to performing arts","93199 - Other sports activities","","0","0","http://business.data.gov.uk/id/company/02683032","12/01/2004","THE ISLE OF WIGHT OBOE COMPETITION","","","","","","","","","","","","","","","","","",""
"""IT'S A MUG'S WORLD"" LIMITED","SC540219","","","196/2 HIGH STREET","","KIRKCALDY","","SCOTLAND","KY1 1JT","Private Limited Company","Active","United Kingdom","","14/07/2016","31","7","14/04/2018","","NO ACCOUNTS FILED","11/08/2017","","0","0","0","0","46900 - Non-specialised wholesale trade","","","","0","0","http://business.data.gov.uk/id/company/SC540219","","","","","","","","","","","","","","","","","","","",""
"""IT'S ALL GRAVY."" LTD","09801908","","","201 LOWER CLAPTON ROAD","LOWER CLAPTON ROAD","LONDON","","UNITED KINGDOM","E5 8EG","Private Limited Company","Active","United Kingdom","","30/09/2015","30","9","30/06/2017","","NO ACCOUNTS FILED","28/10/2016","","0","0","0","0","None Supplied","","","","0","0","http://business.data.gov.uk/id/company/09801908","","","","","","","","","","","","","","","","","","","",""
"""ITRESIDENT""","LP010300","","","FLAT 6","50 ROMAN ROAD","LONDON","","","E2 0LT","Limited Partnership","Active","United Kingdom","","19/03/2005","","","","","NO ACCOUNTS FILED","","","0","0","0","0","None Supplied","","","","1","1","http://business.data.gov.uk/id/company/LP010300","","","","","","","","","","","","","","","","","","","",""
"""J.D.""INSULATING COMPANY LIMITED","00275795","","","57 CHISWELL ST.","LONDON E.C.1.","","","","","Private Limited Company","Active","United Kingdom","","11/05/1933","31","3","31/01/2001","","NO ACCOUNTS FILED","","27/04/1972","3","3","0","0","None Supplied","","","","0","0","http://business.data.gov.uk/id/company/00275795","","","","","","","","","","","","","","","","","","","",""
"""JOHNNIE"" JOHNSON DEVELOPMENTS LIMITED","03895031","","","ASTRA HOUSE","SPINNERS LANE, POYNTON","STOCKPORT","CHESHIRE","","SK12 1GA","Private Limited Company","Active","United Kingdom","","15/12/1999","31","3","31/12/2017","31/03/2016","FULL","28/10/2016","30/09/2015","0","0","0","0","41202 - Construction of domestic buildings","","","","0","0","http://business.data.gov.uk/id/company/03895031","21/01/2000","BLUETHREE LIMITED","","","","","","","","","","","","","","","","","",""
"""JOHNNIE"" JOHNSON HOUSING TRUST LIMITED","IP19198R","","","","","","","","","Industrial and Provident Society","Active","United Kingdom","","01/01/1981","","","","","NO ACCOUNTS FILED","","","0","0","0","0","None Supplied","","","","0","0","http://business.data.gov.uk/id/company/IP19198R","","","","","","","","","","","","","","","","","","","",""
"""JR TORRES LIMITED"" LIMITED","09899329","","","27 FORDLAND PLACE","PALLION","SUNDERLAND","","UNITED KINGDOM","SR4 6UR","Private Limited Company","Active","United Kingdom","","02/12/2015","31","12","02/09/2017","","NO ACCOUNTS FILED","30/12/2016","","0","0","0","0","None Supplied","","","","0","0","http://business.data.gov.uk/id/company/09899329","","","","","","","","","","","","","","","","","","","",""
